domain,problem,runtime,size,status,jic-limit,trials,forgetpolicy,fullstate,planlocal,partial-planlocal,plan-with-policy,limit-planlocal,detect-deadends,generalize-deadends,online-deadends,optimized-scd,jic time,policy eval,policy creation,policy use,search time,engine time,regression time,simulator time,successful states,replans,actions,policy score,strongly cyclic,succeeded
blocksworld,p9.pddl,0.020000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.020000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.030000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.010000,0.020000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.030000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.020000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.040000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.000000,0.030000,0.000000,0.000000,0.000000,0.010000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.040000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.020000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.020000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p9.pddl,0.030000,7,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.040000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.010000,0.020000,0.000000,0.000000,0.000000,0.000000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.010000,0.020000,0.000000,0.000000,0.000000,0.000000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.000000,0.010000,0.000000,0.000000,0.000000,0.020000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.020000,14,0,14,1.000000,True,100
blocksworld,p10.pddl,0.040000,11,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000,14,0,14,1.000000,True,100
blocksworld,p11.pddl,0.340000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.260000,0.190000,0.010000,0.130000,0.030000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p11.pddl,0.340000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.250000,0.200000,0.010000,0.150000,0.030000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p11.pddl,0.430000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.340000,0.270000,0.030000,0.180000,0.030000,0.000000,0.000000,0.010000,63,0,63,1.000000,True,100
